id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
567993118012044130,Charming & bright apartment in the heart of Zurich,4722033,Cesare,Kreis 3,Alt-Wiedikon,47.36274,8.52267,Entire home/apt,196,2,17,2022-09-10,2.58,1,88,17,
568060955741626986,Wohnen am Römerhof ARTEMIDE,336827675,Tiziana,Kreis 7,Hottingen,47.36803,8.56337,Entire home/apt,169,3,5,2022-09-19,0.97,15,326,5,
568707206326908466,Himmel über Zürich,2942097,Felicitas,Kreis 6,Oberstrass,47.38293,8.54974,Entire home/apt,115,7,2,2022-08-14,0.94,1,0,2,
570224029309256331,"North Zürichberg, Nice room in a residential area",56490990,Ellie,Kreis 7,Hottingen,47.38162,8.59149,Private room,80,3,3,2022-08-14,1.23,1,328,3,
570347810853273039,Cozy studio in Zurich old town.,5939421,Maryna,Kreis 1,Rathaus,47.36968,8.54658,Entire home/apt,95,7,4,2022-09-03,0.64,2,327,4,
571689725226581323,Helle Wohnung in Top Lage mit Balkon + Parkplatz,122143687,Jens,Kreis 6,Unterstrass,47.39469,8.54206,Entire home/apt,220,8,6,2022-08-03,0.92,1,22,6,
572963556507335567,New Year's Eve Paradise for 5 - 10 People,9611828,Daniela,Kreis 9,Altstetten,47.39976,8.48344,Entire home/apt,500,2,1,2022-08-14,0.73,1,178,1,
573892075149063706,Bijou with a view close to city centre and ETH,46763838,Martin,Kreis 10,Höngg,47.40434,8.50354,Entire home/apt,128,3,21,2022-09-05,3.25,2,339,21,
573940938280720551,Very central and very quiet,9108753,Milenko,Kreis 5,Gewerbeschule,47.38625,8.52883,Private room,82,1,30,2022-09-19,5.11,2,357,30,
574255825186843053,1-bedroom with patio and garden,29735064,Marie Jeanne,Kreis 2,Wollishofen,47.33686,8.53464,Private room,500,1,0,,,1,0,0,
576558264235546348,Cool & Stylish Urban Living at Oerlikon Station,1348435,Rafael,Kreis 11,Oerlikon,47.41192,8.54394,Entire home/apt,140,3,9,2022-08-24,1.38,7,350,9,
576697377128619584,"Private Room, located in quiet area",38669185,Amelie,Kreis 7,Witikon,47.36078,8.59107,Private room,80,2,4,2022-08-14,0.71,1,329,4,
576745986485906233,Kleines Bijoux mit Dachterrasse im Trendviertel,49014599,Ralph,Kreis 3,Sihlfeld,47.37429,8.517,Entire home/apt,121,3,1,2022-04-07,0.18,1,29,1,
576748573947061504,Ein Privatzimmer in einer Panorama Wohnung.,380821841,Artur,Kreis 7,Witikon,47.35986,8.58339,Private room,148,1,0,,,1,365,0,
576882718670997668,Lovely and cozy apartment in Zurich,4726161,Roberta,Kreis 3,Sihlfeld,47.37031,8.52014,Entire home/apt,165,2,16,2022-09-11,2.87,1,19,16,
578001105444473594,"Oerlikon 2.5 Room w/ Storage, nr local market",434204093,Blueground,Kreis 11,Oerlikon,47.4072565,8.5514417,Entire home/apt,162,30,0,,,40,328,0,
578278992170302067,"Stylish, cosy loft-like space in ZH Wiedikon",3540116,Roger,Kreis 3,Sihlfeld,47.371239,8.50806,Entire home/apt,160,5,0,,,1,0,0,
578994657601085862,Sylvia`s  Spacious Apartment in Zurich City,337594479,Samson,Kreis 3,Sihlfeld,47.37315,8.51369,Entire home/apt,115,2,27,2022-09-14,4.29,1,325,27,
579027196800062224,Room with privat Bath  15min. from Mainstation.,15022767,Melanie,Kreis 4,Langstrasse,47.38079,8.52774,Private room,115,1,46,2022-09-20,7.08,1,74,46,
580040092966431144,Fantastic loft in the trendy Puls5 complex !,13989108,Touch,Kreis 5,Escher Wyss,47.39114,8.51604,Entire home/apt,236,10,2,2022-09-11,0.45,1,347,2,
580202299755856113,Wohnen am Römerhof ZEUS,336827675,Tiziana,Kreis 7,Hottingen,47.36826,8.56179,Entire home/apt,163,3,1,2022-07-25,0.49,15,353,1,
580837638095009670,Lovely Loft Studio with 2 King Size Beds in Zurich,190595511,Gilles,Kreis 5,Gewerbeschule,47.38695,8.52809,Entire home/apt,135,2,33,2022-09-19,5.82,1,0,33,
581637004365873482,Lovely apartment in the center of Zurich,300396105,Rizwan,Kreis 4,Langstrasse,47.37609,8.52653,Entire home/apt,150,21,0,,,1,278,0,
583015218437056036,"Two cosy bedrooms, quiet and cental",67421613,Jung Soo,Kreis 11,Oerlikon,47.40881,8.55352,Private room,40,1,11,2022-08-30,1.86,3,12,11,
