id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
19596005,Central n quiet entire flat + free parking space.,90995955,Ferya,Kreis 7,Hirslanden,47.35518,8.57618,Entire home/apt,38,2,177,2021-09-28,2.93,1,0,1,
19618198,Big Room Near City Center,18327045,Michal,Kreis 4,Werd,47.37458,8.51981,Private room,60,5,2,2017-11-11,0.03,3,0,0,
19669688,Gemütliches Zimmer,138502894,Claudia,Kreis 9,Altstetten,47.39658,8.4941,Private room,70,1,2,2017-07-06,0.03,2,22,0,
19674031,4-rooms flat in Zürich Seefeld,25875288,Tobias,Kreis 8,Mühlebach,47.35814,8.55635,Entire home/apt,150,7,0,,,1,0,0,
19678667,2 Bedroom Apartment with Garden View,90399530,Daniella,Kreis 3,Alt-Wiedikon,47.35976,8.51851,Entire home/apt,375,2,36,2022-05-25,0.60,7,339,11,
19713443,"Central city,beutiful area,parking",135958025,Chris,Kreis 8,Mühlebach,47.36041,8.55566,Private room,89,1,66,2018-06-25,1.09,3,284,0,
19715409,Roof Loft Villa Enge,93598404,Christian,Kreis 2,Enge,47.361,8.52976,Entire home/apt,90,7,5,2018-12-20,0.09,1,31,0,
19735394,"New Rooftop-Apartment, central and quiet",139148038,Irene,Kreis 6,Oberstrass,47.38342,8.5495,Entire home/apt,150,4,53,2022-06-15,0.89,1,250,17,
19742331,"Hell, ruhig, zentral - Wohnung mit Südbalkon",27902480,Susanne,Kreis 3,Alt-Wiedikon,47.35862,8.51657,Entire home/apt,55,28,17,2021-02-28,0.29,2,287,0,
19743179,"9 Min. von City/HB, kl. Zimmer in romant. Haus.",122070790,Sandra,Kreis 9,Albisrieden,47.36502,8.49349,Private room,39,3,167,2022-06-20,2.83,2,269,25,
19755916,"Gemütliches, geräumiges Zimmer im Dachstock",138502894,Claudia,Kreis 9,Altstetten,47.39669,8.49626,Private room,140,2,0,,,2,17,0,
19776405,Nice 1 BR flat city center / near lake (D7),23561865,Tania,Kreis 8,Seefeld,47.35721,8.5547,Entire home/apt,149,2,84,2021-08-19,1.40,27,19,4,
19794268,A room in home away from home,139789330,Irene,Kreis 11,Oerlikon,47.4164,8.53539,Private room,50,1,108,2022-05-22,1.80,1,78,22,
19885799,Precious apartment by the lake in central Zurich,22889966,Julia,Kreis 8,Seefeld,47.35466,8.55679,Entire home/apt,115,21,18,2022-05-31,0.36,1,143,5,
19904561,stylish flat in trendy neighborhood,10017243,Andrea,Kreis 3,Sihlfeld,47.3753,8.51415,Private room,72,4,31,2022-06-12,0.63,1,287,12,
19924162,very nice single room,134482609,Residence Hotel Swiss,Kreis 9,Altstetten,47.38802,8.49209,Private room,75,7,31,2021-12-31,0.57,10,22,6,
19929239,"Very central, quiet and green",36603309,Rudolf,Kreis 6,Oberstrass,47.38809,8.54917,Entire home/apt,90,10,20,2022-01-09,0.56,1,123,6,
20079919,Limmatquai River View Apartment With Jacuzzi,475053,James,Kreis 1,Rathaus,47.37338,8.54301,Entire home/apt,1215,1,34,2021-08-26,0.57,18,160,5,
20098001,Designer room in the core of Zurich Center,2614674,Etienne,Kreis 2,Enge,47.36186,8.52617,Private room,77,1,2,2020-01-01,0.03,1,0,0,
20182402,Cosy 2 room apt right at Zurich main station,21628199,Andreas,Kreis 5,Gewerbeschule,47.38185,8.53704,Entire home/apt,65,180,16,2022-03-05,0.27,1,0,1,
20204122,Above the roofs and in the middle of everything!,95254027,Dominik,Kreis 4,Langstrasse,47.37844,8.52697,Entire home/apt,68,90,6,2021-07-25,0.11,1,48,1,
20216905,Bijou in pedestrian area and old town of Zurich,101365596,Fabienne,Kreis 1,Rathaus,47.37458,8.54353,Entire home/apt,115,28,11,2022-06-19,0.19,1,357,3,
20246499,Spacious and comfy Room in Wipkingen,17880389,Vanessa,Kreis 10,Wipkingen,47.39433,8.52526,Private room,65,1,313,2020-01-08,5.28,1,0,0,
