id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
51760867,Zh Anna I - HITrental Central Station Apartments,12886487,Stephanie,Kreis 5,Gewerbeschule,47.38293,8.53491,Entire home/apt,575,1,5,2022-08-31,0.59,91,30,5,
51763508,Zh Anna Ii - HITrental Central Station Apartments,12886487,Stephanie,Kreis 5,Gewerbeschule,47.38097,8.53339,Entire home/apt,575,1,4,2022-06-14,0.30,91,293,2,
51764507,Zh Anna Iii - HITrental Central Station Apartments,12886487,Stephanie,Kreis 5,Gewerbeschule,47.38232,8.53483,Entire home/apt,575,1,2,2021-12-30,0.16,91,291,1,
51764508,Zh Herta I - HITrental Central Station Apartment,12886487,Stephanie,Kreis 5,Gewerbeschule,47.3807,8.53477,Entire home/apt,575,1,8,2022-07-26,0.52,91,317,4,
51764509,Zh Herta Ii - HITrental Central Station Apartment,12886487,Stephanie,Kreis 5,Gewerbeschule,47.3815,8.5334,Entire home/apt,575,1,2,2021-10-22,0.13,91,305,0,
51764511,Zh Herta Iii - HITrental Central Station Apartment,12886487,Stephanie,Kreis 5,Gewerbeschule,47.383,8.53328,Entire home/apt,575,1,1,2022-06-29,0.16,91,322,1,
51764512,Zh Ida I - HITrental Central Station Apartments,12886487,Stephanie,Kreis 5,Gewerbeschule,47.38234,8.53494,Entire home/apt,575,1,2,2022-01-24,0.17,91,273,2,
51764513,Zh Ida Ii - HITrental Central Station Apartments,12886487,Stephanie,Kreis 5,Gewerbeschule,47.38268,8.53447,Entire home/apt,575,1,16,2022-11-26,1.05,91,313,13,
51764514,Zh Ida Iii - HITrental Central Station Apartments,12886487,Stephanie,Kreis 5,Gewerbeschule,47.38219,8.53436,Entire home/apt,575,1,8,2022-07-02,0.66,91,282,8,
51833444,Apartment in Zürich‘s Trendquartier,315499843,Claude,Kreis 4,Hard,47.37582,8.51581,Entire home/apt,100,14,2,2021-10-24,0.13,2,365,0,
51854063,Charming and centric apartment in Zurich,23604626,Sascha,Kreis 4,Hard,47.38092,8.51773,Entire home/apt,106,3,13,2022-11-27,0.92,1,42,10,
51898754,White Studio with a lovely view over Zurich City,22513551,Luca,Kreis 3,Friesenberg,47.358826,8.497919,Entire home/apt,117,12,12,2022-08-11,0.85,9,291,11,
51899491,New Studio in the Center of Zurich Old Town11#,420370006,Kamila,Kreis 1,Rathaus,47.37377,8.54291,Entire home/apt,159,1,81,2022-12-16,5.02,19,86,66,
51903755,"Studio,3 min walk to Zurich main station(HB)Center",420370006,Kamila,Kreis 6,Unterstrass,47.37949,8.54567,Entire home/apt,119,1,74,2022-12-11,4.57,19,84,60,
51949710,"Zentrales, stilvolles Design-Studio im Kreis 4",343918765,Jana Vom Immobilienkosmos,Kreis 4,Langstrasse,47.37771,8.52865,Entire home/apt,130,2,52,2022-12-27,4.38,1,15,52,
51994536,Bright apartment near airport & city,3024336,Erika M.,Kreis 12,Hirzenbach,47.40101,8.58975,Entire home/apt,82,3,17,2022-11-07,1.19,1,7,12,
51998730,"Sunny, bright & cozy flat 80m2,in Zurich City",117739311,Laila,Kreis 6,Unterstrass,47.40335,8.53481,Entire home/apt,92,22,5,2022-09-25,0.47,1,102,5,
52080414,Cozy room in the quite of Zurich,142652075,Lazhar,Kreis 11,Seebach,47.41914,8.55134,Private room,98,3,9,2022-11-10,0.59,6,365,7,
52081914,Yoga-sleeping room with forest view middle city,47243363,Nona,Kreis 3,Alt-Wiedikon,47.36564,8.51951,Private room,79,20,3,2021-10-13,0.20,1,0,0,
52105457,Furnished room in the heart of Zurich (Kreis 4),2494294,Camenzind,Kreis 4,Langstrasse,47.37771,8.52857,Private room,59,5,3,2022-06-10,0.20,1,0,1,
52109560,*Neu eingerichtet* - Zimmer in Wohnung im Kreis 2,34016702,Nico,Kreis 2,Enge,47.36225,8.52726,Private room,80,2,3,2022-02-25,0.19,2,0,2,
52179846,Entire bright apartment with balcony in central,92098038,Duy,Kreis 7,Hottingen,47.36476,8.55818,Entire home/apt,88,2,5,2022-03-27,0.33,1,0,3,
52210874,COZY STUDIO IN ZURICH,438605260,Patricia,Kreis 11,Seebach,47.41678,8.54641,Entire home/apt,113,2,95,2022-12-12,6.10,1,72,72,
52221484,1 bedroom in spacious Apartment,39891937,Joy,Kreis 9,Albisrieden,47.38036,8.48908,Private room,58,5,3,2022-11-04,0.20,3,360,2,
52290574,Cozy Room with an amazing view in Zürich,185297185,Antonia,Kreis 4,Hard,47.38212,8.50645,Private room,105,1,3,2022-09-18,0.49,1,57,3,
52300060,Old town of Zurich pedestrian area,261136040,Urs,Kreis 1,Rathaus,47.37309,8.5433,Entire home/apt,141,28,2,2022-04-30,0.24,1,363,2,
52311609,Charming attic room in the city,142652075,Lazhar,Kreis 11,Seebach,47.42048,8.55119,Private room,45,6,0,,,6,0,0,
52341711,Wohnung im Grünen mit lieben Kater. Kreis7 Witikon,8226970,Katharina,Kreis 7,Witikon,47.36081,8.60042,Entire home/apt,60,6,3,2022-09-23,0.20,1,0,2,
52354607,Margarita 8004,117597624,Marlenis,Kreis 4,Langstrasse,47.37829,8.52729,Private room,91,1,5,2022-12-25,4.29,2,355,5,
52413566,Gemütliche Wohnung im Herzen von Zürich,348327394,Saschja,Kreis 4,Langstrasse,47.37671,8.52808,Entire home/apt,173,1,1,2022-11-23,0.79,4,69,1,
52449648,Studio,38998280,Aniko,Kreis 3,Sihlfeld,47.37944,8.50667,Private room,119,1,3,2022-08-19,0.50,1,91,3,
52481919,Wohnung im Herzen von Zürich,22801005,Rino,Kreis 4,Langstrasse,47.37791,8.52855,Entire home/apt,150,3,1,2022-12-28,1,1,40,1,
52491701,Quiet double room with large balcony - Kreis 7,43111694,Susanna,Kreis 7,Witikon,47.35666,8.60018,Private room,44,28,1,2022-11-02,0.51,13,320,1,
52492527,Kreis 7 - Gemütliches Doppelzimmer Gartenwohnung,43111694,Susanna,Kreis 7,Witikon,47.35848,8.59864,Private room,50,28,1,2022-11-06,0.55,13,304,1,
52503356,in the middle of it all!,23846573,Sabrina,Kreis 4,Langstrasse,47.37942,8.5286,Entire home/apt,190,3,0,,,2,0,0,
52512196,Modern & Chic Apartment in the heart of Zurich♥️,173887854,Michael,Kreis 3,Sihlfeld,47.37074,8.52139,Entire home/apt,200,5,4,2021-11-29,0.29,1,0,0,
52523797,New cozy  Studio in the Center of Zurich Old Town,420370006,Kamila,Kreis 1,Rathaus,47.36911,8.54416,Entire home/apt,114,1,57,2022-11-30,3.95,19,361,49,
52532511,Viktoria Budget Hostel,293156053,Lena,Kreis 10,Höngg,47.39874,8.50638,Shared room,45,1,20,2022-12-29,1.34,3,359,9,
52546817,Penthouse Bellevue,144959892,Anna Victoria,Kreis 1,Rathaus,47.36795,8.5454,Entire home/apt,1000,3,0,,,3,243,0,
52592693,Schönes Zimmer nähe Zürichsee und Stadtzentrum,405557322,Marylin,Kreis 2,Wollishofen,47.33346,8.52859,Private room,95,2,0,,,1,365,0,
52626298,"Grosse, schöne (Familien-) Wohnung!",2491301,Christian & Yvonne,Kreis 6,Unterstrass,47.40126,8.53341,Entire home/apt,90,14,2,2022-08-09,0.29,1,153,2,
52646086,Minimalist  Apartment in the heart of Zürich,5262292,Kay,Kreis 8,Seefeld,47.35482,8.55308,Entire home/apt,210,4,6,2022-10-28,0.77,1,25,6,
52663121,Apartment in Zurich at the Stettbach train station,287415517,Huseyincan,Kreis 12,Hirzenbach,47.40149,8.59299,Entire home/apt,80,1,1,2021-11-02,0.07,1,0,0,
52718363,Habitación privada doble a 20 minutos del centro,424898326,Mia,Kreis 7,Witikon,47.3607,8.60129,Private room,55,2,85,2022-12-20,5.86,1,62,70,
52754106,Cosy appartement in Zurich,36420428,Blandine,Kreis 9,Altstetten,47.38874,8.49727,Entire home/apt,89,2,16,2022-12-11,1.22,1,143,13,
52768115,Schöne Möblierte Wohnung in Zürich Kreis 5,412843399,Roberta,Kreis 5,Escher Wyss,47.38936,8.52256,Entire home/apt,77,365,0,,,1,365,0,
52824419,Huge 4.5 Bedroom Apartment with Terrace,1534857,Sandro,Kreis 3,Alt-Wiedikon,47.36441,8.51361,Entire home/apt,320,30,0,,,1,0,0,
52832623,*my home your home* down town,29497035,Ladina,Kreis 4,Langstrasse,47.37789,8.52818,Entire home/apt,140,4,3,2022-03-07,0.21,1,0,2,
